id,tipo,resultado,ip
61e23319633b58e4af0fc524,soma,9,::1
61e23327633b58e4af0fc526,subtracao,5,::1
61e23330633b58e4af0fc528,divisao,2,::1
61e23347633b58e4af0fc52a,multiplicacao,50,::1
61e23a3430d3864d7b4eeee2,multiplicacao,2160,::1
61e23d6339a49d7987060807,divisao,86.4,::1
61e23d6d39a49d7987060809,divisao,86.4,::1
61e23daafa37d1de6c463b58,divisao,86.4,::1
61e23ddd7f17c4e4f1327e47,divisao,86.4,::1
61e23ec7170a871e6ce231f9,divisao,86.4,::1
61e23eda0b7165793544419a,divisao,86.4,::ffff:127.0.0.1
61e23f00ba46fde30d0fc6e9,divisao,86.4,::1
61e23f12ec63311335c0d022,divisao,86.4,::1
61e23f44a362e001eb906bc1,divisao,86.4,::1
61e23f5c717f82a0343b68d3,divisao,86.4,::1
61e23f6e9db6b537a7079796,divisao,86.4,::1
61e23f87654e411e55c5d89e,divisao,86.4,::1
61e23f9f120bae94a14b2836,divisao,86.4,::1
61e23fba02a88f0f0d43cc14,divisao,86.4,::1
61e23fcfde6ba8e949808cd3,divisao,86.4,::1
61e23ffd605922a3678b44b1,divisao,86.4,::1
61e240467a0f2a7c5ccbbff2,soma,437,::1
61e240497a0f2a7c5ccbbff5,divisao,86.4,::1
61e2404d7a0f2a7c5ccbbff8,subtracao,427,::1
61e240537a0f2a7c5ccbbffb,multiplicacao,2160,::1
